Focus,Partner,Project,Impact,Completion,Description
Capabilities,C,PROJECT O,High,In Progress,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Process,B,PROJECT X,High,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Process,C,PROJECT Z,Low,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Infrastructure,C,PROJECT AA,High,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Capabilities,M,PROJECT CC,Medium,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Capabilities,P,PROJECT DD,Low,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Capabilities,B,PROJECT EE,High,In Progress,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Infrastructure,E,PROJECT FF,Medium,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Analytics,D,PROJECT HH,High,In Progress,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Infrastructure,B,PROJECT II,High,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Analytics,B,PROJECT JJ,Medium,In Progress,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Analytics,C,PROJECT LL,High,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Data,D,PROJECT MM,Low,In Progress,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Data,E,PROJECT NN,High,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Data,F,PROJECT AA,High,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Data,D,PROJECT BB,High,In Progress,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Data,F,PROJECT CC,Medium,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Process,E,PROJECT DD,Low,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Data,D,PROJECT F,Medium,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Process,B,PROJECT H,High,In Progress,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Engagement,P,PROJECT J,Medium,In Progress,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Capabilities,C,PROJECT L,High,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
